,repo,issues_opened,issues_closed,total_issues,pulls_opened,pulls_closed,total_pulls,n_commits,additions,deletions,total_changes
271,lcls-plc-ftl-leak-det,0,0,1,0,0,1,0,0.0,0.0,0.0
272,rixcalc,0,0,0,0,0,0,3,281.0,325.0,606.0
273,ioc-rix-calc,0,0,0,0,0,0,7,62.0,18.0,80.0
274,mods-ui,4,0,4,0,0,0,5,19280.0,0.0,19280.0
275,twincat-bsd-ansible-testing,1,0,1,1,0,1,3,93.0,0.0,93.0
276,lcls-plc-dream-motion,0,0,0,0,0,0,6,20866.0,8.0,20874.0
277,archiverappliance-datasource,1,0,1,1,0,1,0,0.0,0.0,0.0
278,generic_streamdevice,0,0,0,0,0,0,0,0.0,0.0,0.0
279,lclsspeak,1,0,1,0,0,0,5,3309.0,770.0,4079.0
280,epics-module-usage-summary,0,0,0,0,0,0,7,936.0,87.0,1023.0
281,ami-user-library,1,0,1,1,0,1,1,1060.0,0.0,1060.0
